dirname,path,type,lc,lch,lov,gateasym,w,device_id
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_12_40_55,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_0_2025_08_11_12_40_55,nmos,0.16,0.12,0.06,0.0,4.0,0
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_12_33_48,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_10_2025_08_11_12_33_48,nmos,0.16,0.12,0.06,0.0,4.0,10
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_12_33_05,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_11_2025_08_11_12_33_05,nmos,0.16,0.12,0.06,0.0,4.0,11
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_12_32_22,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_12_2025_08_11_12_32_22,nmos,0.16,0.12,0.06,0.0,4.0,12
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_12_31_40,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_13_2025_08_11_12_31_40,nmos,0.16,0.12,0.06,0.0,4.0,13
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_12_30_57,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_14_2025_08_11_12_30_57,nmos,0.16,0.12,0.06,0.0,4.0,14
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_12_30_14,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_15_2025_08_11_12_30_14,nmos,0.16,0.12,0.06,0.0,4.0,15
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_12_29_32,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_16_2025_08_11_12_29_32,nmos,0.16,0.12,0.06,0.0,4.0,16
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_12_28_49,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_17_2025_08_11_12_28_49,nmos,0.16,0.12,0.06,0.0,4.0,17
gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_12_28_06,./scripts/die1-1_full_sweep\die_x_1_y_-1\gax_mod_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0_18_2025_08_11_12_28_06,nmos,0.16,0.12,0.06,0.0,4.0,18
