module id,category,module gds name,origin x [um],origin y [um],count,wchannel [nm],num fingers,lchannel [nm],lcontact [nm],loverlap [nm],gate asymmetry [nm],w_nmos [nm],w_pmos [nm],module description
'0000',TEST,mod_short_test_700_400_200,16350.0,0.0,1,0,None,0,0,0,0,None,None,"Contact metal short test (line widths = 700 nm, 400 nm, 200 nm)"
'0001',TEST,mod_short_test_160_120_100,16400.0,0.0,1,0,None,0,0,0,0,None,None,"Contact metal short test (line widths = 160 nm, 120 nm, 100 nm)"
'0002',TEST,mod_short_test_90_80_70,16450.0,0.0,1,0,None,0,0,0,0,None,None,"Contact metal short test (line widths = 90 nm, 80 nm, 70 nm)"
'0003',TEST,mod_via_etch_test_400,16500.0,0.0,1,0,None,0,0,0,0,None,None,"Via etch short test (via size = 400 nm)"
'0004',TEST,mod_via_etch_test_200,16550.0,0.0,1,0,None,0,0,0,0,None,None,"Via etch short test (via size = 200 nm)"
'0005',TEST,mod_via_etch_test_100,16600.0,0.0,1,0,None,0,0,0,0,None,None,"Via etch short test (via size = 100 nm)"
'0006',TEST,mod_res_lw_700_spacing_500,16700.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 700 nm, spacing = 500 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0007',TEST,mod_res_lw_160_spacing_200,16750.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 160 nm, spacing = 200 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0008',TEST,mod_res_lw_120_spacing_200,16800.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 120 nm, spacing = 200 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0009',TEST,mod_res_lw_80_spacing_140,16850.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 80 nm, spacing = 140 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0010',TEST,mod_res_lw_70_spacing_120,16900.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 70 nm, spacing = 120 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0011',TEST,mod_res_lw_60_spacing_100,16950.0,0.0,1,0,None,0,0,0,0,None,None,"Resistor metal lines (line_width = 60 nm, spacing = 100 nm, num_lines = [11, 21, 31], line length = 40 um)"
'0012',TEST,mod_mimcap_lw_750_spacing_250,17000.0,0.0,1,0,None,0,0,0,0,None,None,"MIM capacitor for gate dielectric (fill factor = 75%, size = [10, 20, 30] um)"
'0013',TEST,mod_mimcap_lw_500_spacing_500,17050.0,0.0,1,0,None,0,0,0,0,None,None,"MIM capacitor for gate dielectric (fill factor = 50%, size = [10, 20, 30] um)"
'0014',TEST,mod_mimcap_lw_250_spacing_750,17100.0,0.0,1,0,None,0,0,0,0,None,None,"MIM capacitor for gate dielectric (fill factor = 25%, size = [10, 20, 30] um)"
'0015',TEST,cap_offset_horizontal_-50,17200.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = -50 nm)"
'0016',TEST,cap_offset_horizontal_-40,17250.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = -40 nm)"
'0017',TEST,cap_offset_horizontal_-30,17300.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = -30 nm)"
'0018',TEST,cap_offset_horizontal_-20,17350.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = -20 nm)"
'0019',TEST,cap_offset_horizontal_-10,17400.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = -10 nm)"
'0020',TEST,cap_offset_horizontal_0,17450.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 0 nm)"
'0021',TEST,cap_offset_horizontal_10,17500.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 10 nm)"
'0022',TEST,cap_offset_horizontal_20,17550.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 20 nm)"
'0023',TEST,cap_offset_horizontal_30,17600.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 30 nm)"
'0024',TEST,cap_offset_horizontal_40,17650.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 40 nm)"
'0025',TEST,cap_offset_horizontal_50,17700.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = horizontal, offset = 50 nm)"
'0026',TEST,cap_offset_vertical_-50,17800.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = -50 nm)"
'0027',TEST,cap_offset_vertical_-40,17850.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = -40 nm)"
'0028',TEST,cap_offset_vertical_-30,17900.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = -30 nm)"
'0029',TEST,cap_offset_vertical_-20,17950.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = -20 nm)"
'0030',TEST,cap_offset_vertical_-10,18000.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = -10 nm)"
'0031',TEST,cap_offset_vertical_0,18050.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 0 nm)"
'0032',TEST,cap_offset_vertical_10,18100.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 10 nm)"
'0033',TEST,cap_offset_vertical_20,18150.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 20 nm)"
'0034',TEST,cap_offset_vertical_30,18200.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 30 nm)"
'0035',TEST,cap_offset_vertical_40,18250.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 40 nm)"
'0036',TEST,cap_offset_vertical_50,18300.0,0.0,1,0,None,0,0,0,0,None,None,"Photo offset cap test (direction = vertical, offset = 50 nm)"
'0037',TEST,mod_cnt4pp_n_contact,18400.0,0.0,1,0,None,0,0,0,0,None,None,"CNT 4 point probe (patch width = 2000 nm, 4000 nm, 8000 nm)"
'0038',TEST,mod_cnt4pp_p_contact,18500.0,0.0,1,0,None,0,0,0,0,None,None,"CNT 4 point probe (patch width = 2000 nm, 4000 nm, 8000 nm)"
'1000',FET,mod_dummy_fet_tlm_nmos_lc_0.40_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,0,0,1,4000.0,None,400.0,400.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
